,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,energy
2327,1.0,0.20477243,0.04760919,0.01572259,0.0048763785,0.0001889297,0.0048726713,0.0007522686,0.010486567,0.00038423846,0.0005364676,0.00012484899,0.0004990311,3.8687594e-05,0.0001246597,3.8544495e-05,7.702016e-05,5.9436406e-06,1.9720053e-06,3.8479215e-05,1.9718223e-06,0.0016101503,0.00024981884,0.00024943816,3.9363702e-05,3.0511494e-06,3.931774e-05,1.2096138e-05,0.00053720875,3.1459956e-06,-40.480858
2328,1.0,0.20298311,0.046765342,0.015445989,0.0047521866,0.00018244023,0.004740388,0.0007266947,0.010310166,0.0003687273,0.00052221736,0.000120685734,0.00048156801,3.7032285e-05,0.0001200832,3.6971524e-05,7.37549e-05,5.650573e-06,1.87613e-06,3.6780333e-05,1.876239e-06,0.0015686228,0.00024167425,0.00024048418,3.7507398e-05,2.881307e-06,3.733802e-05,1.1425876e-05,0.00052416674,2.9364755e-06,-40.481228
2329,1.0,0.20150849,0.04602553,0.015218324,0.0046424493,0.0001763704,0.0046320856,0.00070487027,0.010169025,0.00035586805,0.0005104992,0.00011700252,0.0004669587,3.5540135e-05,0.0001164702,3.5589823e-05,7.101971e-05,5.391629e-06,1.7962194e-06,3.5427787e-05,1.796197e-06,0.0015351244,0.0002345292,0.00023350553,3.59317e-05,2.725912e-06,3.5778783e-05,1.0881513e-05,0.00051401986,2.771601e-06,-40.48161
2330,1.0,0.2008115,0.045657806,0.015113951,0.004586562,0.00017310615,0.0045820507,0.0006942594,0.010097359,0.00034990424,0.00050529535,0.000115129165,0.0004600498,3.4761706e-05,0.00011489086,3.4886874e-05,6.9707894e-05,5.2596492e-06,1.7581864e-06,3.482051e-05,1.7575879e-06,0.001519169,0.00023072629,0.00023029698,3.5169007e-05,2.6439984e-06,3.509579e-05,1.0631742e-05,0.0005084972,2.7001138e-06,-40.482132
2331,1.0,0.20116843,0.045783333,0.015172449,0.0046045426,0.00017398925,0.004605619,0.0006978891,0.0101238405,0.00035235696,0.0005084803,0.00011574768,0.0004631008,3.5001143e-05,0.00011579682,3.5088393e-05,7.019814e-05,5.2986375e-06,1.7715255e-06,3.510672e-05,1.7701948e-06,0.0015267772,0.00023169248,0.00023181069,3.543523e-05,2.6671703e-06,3.544787e-05,1.0729252e-05,0.0005098194,2.7356543e-06,-40.482597
2332,1.0,0.20256877,0.046349343,0.015386193,0.004691984,0.00017886577,0.004696945,0.00071425,0.010261721,0.00036203008,0.0005193525,0.00011873312,0.00047542196,3.6232617e-05,0.000118984855,3.613343e-05,7.2344636e-05,5.4983634e-06,1.8307509e-06,3.620668e-05,1.8292793e-06,0.0015587048,0.00023756124,0.00023806278,3.662626e-05,2.7919475e-06,3.6709727e-05,1.1128201e-05,0.0005199994,2.8597085e-06,-40.482536
2333,1.0,0.20446286,0.04711216,0.015670657,0.004813775,0.00018573734,0.0048189117,0.0007366225,0.010463744,0.00037483586,0.00053359277,0.00012292314,0.00049217674,3.7976388e-05,0.00012317862,3.761347e-05,7.5307515e-05,5.780835e-06,1.9125273e-06,3.7690937e-05,1.9118286e-06,0.0016032892,0.00024621526,0.00024675432,3.8276492e-05,2.969652e-06,3.8363552e-05,1.1669137e-05,0.0005361579,3.0205456e-06,-40.481823
2334,1.0,0.20583838,0.047721133,0.015878933,0.004911578,0.0001912107,0.004911263,0.00075476355,0.010611575,0.000385358,0.0005441041,0.00012630246,0.0005051768,3.93585e-05,0.00012628142,3.883808e-05,7.768359e-05,6.01089e-06,1.9794693e-06,3.883763e-05,1.9799438e-06,0.0016361813,0.0002532095,0.00025318688,3.9667815e-05,3.113901e-06,3.965369e-05,1.2118152e-05,0.000548089,3.1576644e-06,-40.481106
2335,1.0,0.2059643,0.047923174,0.015902402,0.004937462,0.00019239666,0.0049330005,0.00076087844,0.010616489,0.0003900803,0.00054550765,0.00012712309,0.00050807104,3.9626844e-05,0.00012689945,3.9209695e-05,7.836148e-05,6.071278e-06,2.0016882e-06,3.914262e-05,2.0033867e-06,0.0016388042,0.0002546237,0.00025415214,4.0211136e-05,3.1489806e-06,4.013148e-05,1.2305926e-05,0.0005478134,3.2389792e-06,-40.48098
2336,1.0,0.20497291,0.04769188,0.015753733,0.0048862663,0.00018893623,0.0048892773,0.00075416086,0.010506427,0.0003883214,0.00053808035,0.00012514406,0.0005008819,3.872681e-05,0.00012529918,3.862481e-05,7.729253e-05,5.9466365e-06,1.9768606e-06,3.866522e-05,1.9786908e-06,0.0016148469,0.0002503823,0.000250689,3.976627e-05,3.0640886e-06,3.982906e-05,1.2207429e-05,0.00053868676,3.248253e-06,-40.481144
